"","Station_ID","UTM_X","UTM_Y","days","Subpop","counts"
"205","ITCHA2-27B",1062216.761126,862820.05186316,347,"Chilcotin",0
"206","ITCHA2-28",1064168.28445045,862924.010669589,691,"Chilcotin",0
"207","ITCHA2-29",1066189.38359818,862862.4075161,706,"Chilcotin",0
"208","ITCHA2-30",1068006.64505422,862932.610689986,791,"Chilcotin",0
"209","ITCHA3-01",1072461.50105177,848931.901505693,596,"Chilcotin",0
"210","ITCHA3-02",1074826.49117782,848867.945162799,704,"Chilcotin",0
"211","ITCHA3-03",1077122.23481541,848915.585984629,448,"Chilcotin",0
"212","ITCHA3-04",1079419.06156278,848897.419652032,372,"Chilcotin",0
"213","ITCHA3-05",1081644.77742439,849091.082043376,317,"Chilcotin",0
"214","ITCHA3-06",1084011.25240315,848953.609170829,707,"Chilcotin",0
"215","ITCHA3-07",1072623.22687881,851622.599299171,538,"Chilcotin",0
"216","ITCHA3-08",1074847.02002995,851868.859744374,675,"Chilcotin",0
"217","ITCHA3-09",1077214.57395662,851560.740009659,553,"Chilcotin",0
"218","ITCHA3-10",1079506.79130403,851743.349091764,263,"Chilcotin",0
"219","ITCHA3-11",1081869.01065826,851772.09003455,687,"Chilcotin",0
"220","ITCHA3-12",1084163.14567678,851834.264438198,631,"Chilcotin",0
"221","ITCHA3-13",1072443.24127397,854587.023921946,696,"Chilcotin",0
"222","ITCHA3-14",1074804.03917773,854612.271776283,552,"Chilcotin",0
"223","ITCHA3-15",1077097.56399013,854626.445275444,430,"Chilcotin",0
"224","ITCHA3-16",1079457.61034392,854698.602427039,675,"Chilcotin",0
"225","ITCHA3-17",1081752.8334118,854614.644160869,572,"Chilcotin",0
"226","ITCHA3-18",1084180.69083913,854667.987377085,705,"Chilcotin",0
"227","ITCHA3-19",1072468.00776339,857398.440601029,705,"Chilcotin",7
"228","ITCHA3-20",1074828.64000532,857345.633659217,649,"Chilcotin",0
"229","ITCHA3-21",1077186.45586319,857472.430879618,263,"Chilcotin",0
